date and time,value
[2020-04-10 15:03:07.163] ,516
[2020-04-10 15:03:07.263] ,570
[2020-04-10 15:03:07.363] ,658
[2020-04-10 15:03:07.464] ,708
[2020-04-10 15:03:07.564] ,717
[2020-04-10 15:03:07.664] ,748
[2020-04-10 15:03:07.764] ,750
[2020-04-10 15:03:07.865] ,705
[2020-04-10 15:03:07.964] ,586
[2020-04-10 15:03:08.065] ,542
[2020-04-10 15:03:08.165] ,541
[2020-04-10 15:03:08.265] ,588
[2020-04-10 15:03:08.365] ,608
[2020-04-10 15:03:08.466] ,570
[2020-04-10 15:03:08.567] ,560
[2020-04-10 15:03:08.666] ,558
[2020-04-10 15:03:08.767] ,616
[2020-04-10 15:03:08.867] ,639
[2020-04-10 15:03:08.967] ,620
[2020-04-10 15:03:09.067] ,605
[2020-04-10 15:03:09.167] ,618
[2020-04-10 15:03:09.267] ,642
[2020-04-10 15:03:09.367] ,649
[2020-04-10 15:03:09.467] ,663
[2020-04-10 15:03:09.567] ,628
[2020-04-10 15:03:09.667] ,626
[2020-04-10 15:03:09.767] ,616
[2020-04-10 15:03:09.870] ,582
[2020-04-10 15:03:09.970] ,557
[2020-04-10 15:03:10.070] ,554
[2020-04-10 15:03:10.162] ,632
[2020-04-10 15:03:10.269] ,702
[2020-04-10 15:03:10.369] ,741
[2020-04-10 15:03:10.469] ,765
[2020-04-10 15:03:10.569] ,765
[2020-04-10 15:03:10.669] ,765
[2020-04-10 15:03:10.769] ,701
[2020-04-10 15:03:10.872] ,594
[2020-04-10 15:03:10.972] ,561
[2020-04-10 15:03:11.073] ,579
[2020-04-10 15:03:11.173] ,637
[2020-04-10 15:03:11.272] ,685
[2020-04-10 15:03:11.373] ,653
[2020-04-10 15:03:11.473] ,628
[2020-04-10 15:03:11.573] ,632
[2020-04-10 15:03:11.674] ,640
[2020-04-10 15:03:11.774] ,598
[2020-04-10 15:03:11.867] ,556
[2020-04-10 15:03:11.975] ,529
[2020-04-10 15:03:12.075] ,582
[2020-04-10 15:03:12.174] ,685
[2020-04-10 15:03:12.274] ,748
[2020-04-10 15:03:12.374] ,782
[2020-04-10 15:03:12.474] ,788
[2020-04-10 15:03:12.574] ,790
[2020-04-10 15:03:12.674] ,783
[2020-04-10 15:03:12.774] ,686
[2020-04-10 15:03:12.877] ,605
[2020-04-10 15:03:12.977] ,582
[2020-04-10 15:03:13.077] ,614
[2020-04-10 15:03:13.178] ,711
[2020-04-10 15:03:13.278] ,758
[2020-04-10 15:03:13.378] ,775
[2020-04-10 15:03:13.479] ,785
[2020-04-10 15:03:13.580] ,784
[2020-04-10 15:03:13.679] ,768
[2020-04-10 15:03:13.779] ,675
[2020-04-10 15:03:13.880] ,626
[2020-04-10 15:03:13.978] ,627
[2020-04-10 15:03:14.078] ,690
[2020-04-10 15:03:14.178] ,735
[2020-04-10 15:03:14.278] ,706
[2020-04-10 15:03:14.378] ,717
[2020-04-10 15:03:14.478] ,742
[2020-04-10 15:03:14.578] ,748
[2020-04-10 15:03:14.678] ,734
[2020-04-10 15:03:14.778] ,624
[2020-04-10 15:03:14.882] ,588
[2020-04-10 15:03:14.981] ,582
[2020-04-10 15:03:15.083] ,644
[2020-04-10 15:03:15.182] ,721
[2020-04-10 15:03:15.283] ,732
[2020-04-10 15:03:15.383] ,677
[2020-04-10 15:03:15.484] ,610
[2020-04-10 15:03:15.582] ,620
[2020-04-10 15:03:15.683] ,608
[2020-04-10 15:03:15.784] ,555
[2020-04-10 15:03:15.884] ,541
[2020-04-10 15:03:15.984] ,538
[2020-04-10 15:03:16.084] ,581
[2020-04-10 15:03:16.184] ,634
[2020-04-10 15:03:16.284] ,666
[2020-04-10 15:03:16.385] ,687
[2020-04-10 15:03:16.485] ,687
[2020-04-10 15:03:16.586] ,703
[2020-04-10 15:03:16.686] ,713
[2020-04-10 15:03:16.786] ,735
[2020-04-10 15:03:16.886] ,759
[2020-04-10 15:03:16.986] ,775
[2020-04-10 15:03:17.086] ,782
[2020-04-10 15:03:17.185] ,776
[2020-04-10 15:03:17.285] ,769
[2020-04-10 15:03:17.385] ,759
[2020-04-10 15:03:17.485] ,760
[2020-04-10 15:03:17.585] ,753
[2020-04-10 15:03:17.685] ,754
[2020-04-10 15:03:17.785] ,752
[2020-04-10 15:03:17.892] ,746
[2020-04-10 15:03:17.992] ,745
[2020-04-10 15:03:18.092] ,745
[2020-04-10 15:03:18.193] ,747
[2020-04-10 15:03:18.293] ,737
[2020-04-10 15:03:18.393] ,739
[2020-04-10 15:03:18.494] ,740
[2020-04-10 15:03:18.594] ,735
[2020-04-10 15:03:18.694] ,744
[2020-04-10 15:03:18.794] ,736
[2020-04-10 15:03:18.894] ,716
[2020-04-10 15:03:18.994] ,654
[2020-04-10 15:03:19.094] ,624
[2020-04-10 15:03:19.194] ,634
[2020-04-10 15:03:19.294] ,686
[2020-04-10 15:03:19.394] ,694
[2020-04-10 15:03:19.494] ,721
[2020-04-10 15:03:19.594] ,715
[2020-04-10 15:03:19.694] ,692
[2020-04-10 15:03:19.794] ,708
[2020-04-10 15:03:19.898] ,722
[2020-04-10 15:03:19.998] ,722
[2020-04-10 15:03:20.098] ,715
[2020-04-10 15:03:20.198] ,708
[2020-04-10 15:03:20.299] ,672
[2020-04-10 15:03:20.399] ,663
[2020-04-10 15:03:20.500] ,681
[2020-04-10 15:03:20.599] ,667
[2020-04-10 15:03:20.700] ,676
[2020-04-10 15:03:20.800] ,693
[2020-04-10 15:03:20.900] ,692
